"Quarter","Duration","Number","%"
"2019Q1","Less than one month",2700,44.1
"2019Q1","1-2 months",2000,32.2
"2019Q1","3-5 months",600,9.1
"2019Q1","6 to 11 months",400,6.0
"2019Q1","12 months or more",300,5.5
"2019Q2","Unemployed",9400,100.0
"2019Q2","Already found work",1800,19.4
"2019Q2","Less than one month",2200,23.8
"2019Q2","1-2 months",2600,28.2
"2019Q2","3-5 months",1700,18.0
"2019Q2","6 to 11 months",600,6.1
"2019Q2","12 months or more",400,4.5
"2019Q3","Unemployed",7200,100.0
"2019Q3","Already found work",700,9.0
"2019Q3","Less than one month",1800,25.3
"2019Q3","1-2 months",1700,23.0
"2019Q3","3-5 months",1200,16.5
"2019Q3","6 to 11 months",1400,18.7
"2019Q3","12 months or more",500,7.5
"2019Q4","Unemployed",6800,100.0
"2019Q4","Already found work",500,7.6
"2019Q4","Less than one month",1500,22.4
"2019Q4","1-2 months",2100,30.3
"2019Q4","3-5 months",1200,17.9
"2019Q4","6 to 11 months",800,11.3
"2019Q4","12 months or more",700,10.5
"2020Q1","Unemployed",7500,100.0
"2020Q1","Already found work",500,7.2
"2020Q1","Less than one month",1700,22.5
"2020Q1","1-2 months",1700,23.1
"2020Q1","3-5 months",1100,14.3
"2020Q1","6 to 11 months",700,9.3
"2020Q1","12 months or more",1800,23.6
"2020Q2","Unemployed",14300,100.0
"2020Q2","Already found work",1100,7.8
"2020Q2","Less than one month",4000,27.8
"2020Q2","1-2 months",4700,33.0
"2020Q2","3-5 months",2000,13.9
"2020Q2","6 to 11 months",1500,10.8
"2020Q2","12 months or more",1000,6.6
