Year,Month,Citizenship,n_passengers
2004,Jun,Poland,
2004,Jun,Russia,
2004,Jun,Singapore,
2004,Jun,Spain,438
2004,Jun,South Korea,
2004,Jun,Switzerland,618
2004,Jun,Sweden,2741
2004,Jun,Taiwan,
2004,Jun,Germany,4666
2004,Jun,Other countries,5555
2004,Jul,Passenger total,100669
2004,Jul,Iceland,36394
2004,Jul,Foreigners,64275
2004,Jul,Austria,
2004,Jul,Australia / New Zealand,
2004,Jul,U.S.A.,7322
2004,Jul,Belgium,
2004,Jul,U.K.,7541
2004,Jul,Denmark,6395
2004,Jul,Estonia / Latvia / Lithuania,
2004,Jul,Finland,1195
2004,Jul,France,5492
2004,Jul,Netherlands,2185
2004,Jul,Hong Kong,
2004,Jul,India,
2004,Jul,Ireland,
2004,Jul,Israel,
2004,Jul,Italy,2292
2004,Jul,Japan,1224
2004,Jul,Canada,774
2004,Jul,China,
2004,Jul,Norway,2939
2004,Jul,Poland,
2004,Jul,Russia,
2004,Jul,Singapore,
2004,Jul,Spain,1287
2004,Jul,South Korea,
2004,Jul,Switzerland,3161
2004,Jul,Sweden,3798
2004,Jul,Taiwan,
2004,Jul,Germany,10691
2004,Jul,Other countries,7979
2004,Aug,Passenger total,97809
2004,Aug,Iceland,33275
2004,Aug,Foreigners,64534
2004,Aug,Austria,
2004,Aug,Australia / New Zealand,
2004,Aug,U.S.A.,7722
2004,Aug,Belgium,
2004,Aug,U.K.,8804
2004,Aug,Denmark,4068
2004,Aug,Estonia / Latvia / Lithuania,
2004,Aug,Finland,918
2004,Aug,France,6429
