"Year","Sex","Age","Rate of individuals (%)","Rate lower bounds (%)","Rate upper bounds (%)","Number of individuals","Number lower bounds","Number upper bounds"
"2018","Total","65 + years old",4.8,3.1,6.9,2350,1536,3396
"2018","Female","Total",8.9,7.7,10.2,15293,13252,17513
"2018","Female","0-15 years old",11.4,8.7,14.4,3765,2884,4784
"2018","Female","16-24 years old",12.5,8.9,16.8,2665,1896,3587
"2018","Female","25-34 years old",12.7,8.9,17.2,2876,2027,3898
"2018","Female","35-44 years old",10.0,6.8,13.9,2223,1517,3095
"2018","Female","45-54 years old",6.6,3.6,10.8,1671,915,2727
"2018","Female","55-64 years old",5.1,3.0,7.9,1126,665,1749
"2018","Female","65 + years old",3.9,2.2,6.2,966,549,1544
"2018","Male","Total",9.1,7.9,10.4,16077,13925,18418
"2018","Male","0-15 years old",11.0,8.6,13.7,4180,3269,5224
"2018","Male","16-24 years old",7.9,5.0,11.5,1747,1122,2549
"2018","Male","25-34 years old",12.3,8.7,16.6,3274,2324,4416
"2018","Male","35-44 years old",9.5,6.5,13.3,2175,1483,3031
"2018","Male","45-54 years old",6.0,3.5,9.4,1268,737,1989
"2018","Male","55-64 years old",9.4,5.7,14.4,2049,1233,3122
"2018","Male","65 + years old",5.8,3.1,9.6,1384,737,2305
